id,tourney_name
14442516,Rising Legends: Inkborn Fables - Open Qualifier #3
54856494,Inkborn Fables: APAC Tactician Trials #3
85137120,Remix Rumble: LATAM Open Qualifier LAS #1
83387027,TFT Open Championship 7: Huya Finals - Qualifier
18737587,TFT Open Championship 5: Mythic Cup - Douyu Qualifier
10735171,Super League: Set 11 - Tormenta Spatula #1
8298062,Remix Rumble: NA Regional Finals
3954498,A1 eSports Prismatic Legends: Season 1 - GSC Elimination
69043278,Reckoning: Open Qualifier #2
13591360,Monsters Attack: Mecha Cup
16200438,AfreecaTV Series: Monsters Attack - Finals
12093837,Remix Rumble: True Damage Cup
24680556,Runeterra Reforged: OCE Soraka Open Qualifier
1289025,AfreecaTV Series: Galaxies: Return To The Stars - Finals
95117778,TPC S9 Open Qualifier #2
5252834,Remix Rumble: East Asian Finals - KR Lobby
179391,Reckoning: Latin America Playoffs
44075003,TFT Open Championship 8: NetCafe Wanyoo Arena
54680397,Star Cup Romania: Magic n' Mayhem - Open Qualifier #1
76115553,TFT Open Championship 7: NetCafe Wanyoo Arena
62433690,ProLegends Stage 1 2021 - Finals
39873015,Runeterra Reforged Championship CN Qualifier
27122572,Rising Legends: Dragonlands - Finals
88911623,Remix Rumble: Liga Remix
38734505,Star Cup Romania: Inkborn Fables - Open Qualifier #1
20120253,Monsters Attack: Underground Cup
49875435,Reckoning: Oceania Finals
34345485,Remix Rumble Championship CN Qualifier
32170647,Runeterra Reforged: OCE Regional LCQ #1
96244038,TFT Open Championship 8: Summit Cup #1
30360885,ProLegends Stage 1 2022 - Board Masters #5
86302540,RoEMEA: Inkborn Fables - Qualifier #3
25502168,TPC S9 Challenger Qualifier
5523080,TFT Open Championship 2: NetCafe Wanyoo - South Finals
76096422,TPC S9.5 Open Qualifier
20800743,Rising Legends: Inkborn Fables - Open Qualifier #2
69695811,A1 eSports Prismatic Legends: Season 1 - Open Qualifier 1
6517927,Rising Legends: Monsters Attack - Open Qualifier #1
10836672,Monsters Attack: North America Last Chance Qualifier
84535031,TFT Open Championship 2: NetCafe Wanyoo - Shanghai Finals
91810525,ProLegends Stage 2 2022 - Board Masters #6
68488941,Remix Rumble: SEA Regional Finals
34978354,Inkborn Fables: DTXV Campus Final
74285770,JCC Open Championship 5: Pioneer Cup
43299798,Remix Rumble: Vietnam Open Qualifier
75444928,Monsters Attack: Lux Open Qualifier
